code;name_de;purpose_de;name_en;purpose_en
S035;IT-Ticket-System;Bereitstellung und Betrieb eines Ticket-Systems für die Erfassung und Lösung von ITK-bezogenen Fragen, Vorfälle, Probleme und Aufgaben;IT ticket system;Provisioning and operation of a ticket system for the identification and solution of ICT-related issues, incidents, problems and tasks
S036;IT-Inventarisierungs-System und IT-Dokumentation;Bereitstellung und Betrieb eines Systems für die Verwaltung und Dokumentation des IT-relevanten Inventars;IT asset management and IT documentation system;Provisioning and operation of a system for the management and documentation of IT related inventory
S037;Öffentlicher Web-Server (inkl. CMS);Bereitstellung und Betrieb eines öffentlichen Web-Server Systems;Public web server (incl. CMS);Provisioning and operation of a public web server system
S038;Kunden-Portal System;Bereitstellung und Betrieb eines Kunden-Portal Systems;Customer portal system;Provisioning and operation of a customer portal system
S039;FTP/SFTP Server;Bereitstellung und Betrieb eines FTP/SFTP Systems für den Datenaustausch mit externen Partnern;FTP/SFTP server;Provisioning and operation of an FTP / SFTP system for data exchange with external partners
S040;Tablets;Bereitstellung und Betrieb von Tablet-Hardware;Tablets;Provisioning and operation of tablet hardware
S041;Thin-Client Management;Bereitstellung und Betrieb eines Systems für das Management von Thin-Clients;Thin-Client management;Provisioning and operation of a system for the management of thin clients
S042;MPLS-Netzwerk;Bereitstellung und Betrieb eines MPLS-Netzwerks (Multi-Protocol Label Switching);MPLS network;Provisioning and operation of a MPLS network (Multi-Protocol Label Switching)
S043;Server-Hardware (z.B. Bladeserver);Bereitstellung und Betrieb von Server-Hardware;Server hardware (e.g. Bladeserver);Provisioning and operation of server hardware
S044;Storage-Hardware;Bereitstellung und Betrieb von Storage-Hardware;Storage hardware;Provisioning and operation of storage hardware
S045;USV-System;Bereitstellung und Betrieb einer unterbrechungsfreien Stromversorgung um kurzfristige Stromausfälle zu überbrücken und Stromschwankungen auszugleichen;UPS system;Provisioning and operation of an uninterruptible power supply to bridge short-term power failures and compensate for current fluctuations
S046;Klimaanlagen;Bereitstellung und Betrieb von Klimaanlagen um Räume mit ITK-Equipment auf angemessene Temperatur zu halten;Air conditioning systems;Provisioning and operation of air conditioning in order to keep areas with ICT equipment within an appropriate temperature
S047;Switche im Edge-Bereich;Bereitstellung und Betrieb von Switch-Hardware im Edge-Bereich (z.B. Etagenverteiler);Edge switches;Provisioning and operation of switch hardware in the edge area (eg floor distribution rooms)
S048;Thin Clients;Bereitstellung und Betrieb von Thin-Client-Hardware;Thin clients;Provisioning and operation of thin-client hardware
S049;Workstations (PCs);Bereitstellung und Betrieb von Workstation (PC) -Hardware;Workstations (PCs);Provisioning and operation of workstation (PC) hardware
S050;Notebooks (Laptops);Bereitstellung und Betrieb von Notebook (Laptop)-Hardware;Notebooks (Laptops);Provisioning and operation of notebook (laptop) hardware
S051;Smartphones;Bereitstellung und Betrieb von Smartphone-Hardware;Smartphones;Provisioning and operation of smartphone hardware
S052;Antivirus Software;Bereitstellung und Betrieb eines Systems für die lokale Erkennung und Abwehr von Schadsoftware;Antivirus software;Provisioning and operation of a system for local detection and prevention of malicious software
S053;Microsoft Lizenzen;Bereitstellung und Betrieb eines Systems für die Lizensierung von Microsoft  Produkten;Microsoft licenses;Provisioning and operation of a system for the licensing of Microsoft products
S054;Backup und Wiederherstellung Hard- und Software;Bereitstellung und Betrieb eines Systems für das Datenbackup und -wiederherstellung;Backup and Restore hard- and software;Provisioning and operation of a system for data backup and recovery
S055;WLAN;Bereitstellung und Betrieb von WLAN-Hard- und Software;WLAN;Provisioning and operation of WLAN-hard- and software
S056;Multifunktionsdrucker (MFPs);Bereitstellung und Betrieb von Multifunktionsdrucker-Hardware;Multifunction printer (MFPs);Provisioning and operation of multifunctional printer hardware
S057;Microsoft Office;Bereitstellung und Betrieb der Microsoft Office -Software;Microsoft Office;Provisioning and operation of the Microsoft Office - Software
S058;Kopierer;Bereitstellung und Betrieb von Kopierermaschinen-Hardware;Copy machines;Provisioning and operation of copy machine hardware
S059;Drucker;Bereitstellung und Betrieb von Drucker-Hardware;Printer machines;Provisioning and operation of printer hardware
S060;ITK-Verkabelung (inkl. Patchkabel);Bereitstellung und Betrieb von ITK-Verkabelung inkl. Zugehörige Patchkabel;ITC cabling (incl. Patching);Provisioning and operation of ITC-cabling incl. Patching and patch cables
S061;Blackberry Server;Bereitstellung und Betrieb eines BlackBerry Enterprise Systems;Blackberry server;Provisioning and operation of a BlackBerry Enterprise systems
S062;Mobile Device Management - System (MDM);Bereitstellung und Betrieb eines Mobile Device Management (MDM) Systems;Mobile Device Management - System (MDM);Provisioning and operation of a Mobile Device Management (MDM) system
S063;Enterprise PIM-Funktionen auf Smartphone bzw. Tablet;Bereitstellung und Betrieb eines Systems für Synchronisation von Unternehmens-E-Mails, - Adressen, -Kontakte, -Termine auf Smartphones und/oder Tablets;Enterprise PIM functions on smartphone respectively tablet;Provisioning and operation of a system for synchronization of corporate e-mail, - addresses, contacts, -dates on smartphones and/or tablets
S064;Externe DNS-Verwaltung;Bereitstellung und Betrieb eines Systems für die Verwaltung der Zuordnung von öffentlichen IP-Adressen zu öffentlichen Internet-Domännamen;External DNS-management;Provisioning and operation of a system for managing the allocation and mapping of public IP addresses to public internet domain names
S065;Netzwerkraum;Bereitstellung und Betrieb eines Raums für die Unterbringung von passiven und aktiven Netzwerkkomponenten;Cable distribution room;Provisioning and operation of a space for the accommodation of passive and active network components
S066;Serverraum;Bereitstellung und Betrieb eines Raums für die Unterbringung von passiven und aktiven Netzwerkkomponenten und weitere IT-Hardware wie Server, Storage etc.;Server room;Provisioning and operation of a space for the accommodation of passive and active network components and further hardware like server, storage etc.
S067;Rechenzentrum;Bereitstellung und Betrieb eines Raums für die Unterbringung von passiven und aktiven Netzwerkkomponenten, weitere IT-Hardware wie Server, Storage etc., abgesichert mindestens durch Zutrittskontrolle, Feuerlöschanlage, 24/7-Notstromversorgung;Data center;Provisioning and operation of a space for the accommodation of passive and active network components, further IT hardware such as servers, storage, etc., minimum secured by access control, fire fighting system, 24/7 emergency power supply
S068;WAN-Anbindung zum externen Rechenzentrum;Bereitstellung und Betrieb einer Datenanbindung zu einem externen Rechenzentrum;WAN-connectivity to external data center;Provisioning and operation of a data connection to an external data center
S069;Einbruchmelde-System;Bereitstellung und Betrieb eines Einbruchmelde-Systems;Burglar alarm system;Provisioning and operation of a burglar alarm system
S070;Facility-Management Alarmierungs-System;Bereitstellung und Betrieb eines Alarm-Systems für die Überwachung von Haustechnik-Funktionen wie Heizung, Klima, Jalousien etc.;Facility management alerting system;Provisioning and operation of an alarm system for the monitoring of office automation functions such as heating, air conditioning, blinds etc.
S071;Frankiermaschine;Bereitstellung und Betrieb einer Maschine für das freistempeln von Postsendungen;Postage meter machine;Provisioning and operation of a system for the automatic metering of postage stamps
S072;Diverse Client-Software;Bereitstellung und Betrieb diverse Client-Installierte-Software wie Browser, PDF-Reader, etc.;Various client software;Provisioning and operation of various client-installed software such as web browser, PDF reader, etc.
S073;QM-Software;Bereitstellung und Betrieb einer Software für Qualitätsmanagement;QM software;Provisioning and operation of a software for quality management
S074;Intranet und CMS für das Intranet;Bereitstellung und Betrieb eines Firmen-Intranets mit dem zugehörigen CMS-System;Intranet and CMS system for intranet;Provisioning and operation of a corporate intranet with the corresponding CMS system
S075;Software Patch-Management System;Bereitstellung und Betrieb eines Systems für die Verteilung und Installation von Software-Patches und -Updates;Software patch management system;Provisioning and operation of a system for distributing and installing software patches and updates
S076;Software-Verteilung (inkl. Software Patch-Management System);Bereitstellung und Betrieb eines Systems für die Verteilung und Installation beliebiger Software (inkl. -Patches und -Updates);Software distribution (incl. software patch management);Provisioning and operation of a system for the distribution and installation of any software (incl. patches and updates)
S077;Switche im Core-Bereich;Bereitstellung und Betrieb von Switch-Hardware im Core-Bereich (Serverraum und/oder Rechenzentrum);Core switches;Provisioning and operation of switch hardware in the core area (server room and/or data center)
S078;Router;Bereitstellung und Betrieb von Router-Hardware;Router;Provisioning and operation of router hardware
S079;EDIFACT-Hard- und  -Software;Bereitstellung und Betrieb von Systemen und Software  für den Datenaustausch über EDIFACT;EDIFACT-hard- and -software;Provisioning and operation of systems and software for data exchange via EDIFACT
S080;Personalverwaltungs- und Bewerber-Software (inkl. Abrechnung);Bereitstellung und Betrieb von Software für die Personal- und Bewerberverwaltung inklusive Lohnabrechnung;Applicant and HR-management software (incl. payroll accounting);Provisioning and operation of software for staff management incl. payroll accounting
S081;Personalverwaltungs- und Bewerber-Software (ohne Abrechnung);Bereitstellung und Betrieb von Software für die Personal- und Bewerberverwaltung ohne  Lohnabrechnung;Applicant and HR-management software (without payroll accounting);Provisioning and operation of applicant and HR-management software (without payroll accounting)
S082;Webshop-Software;Bereitstellung eines Systems für den Betrieb eines Webshops;Webshop software;Provisioning of a system for the operation of a webshop
S083;Projekt-Datenraum;Bereitstellung und Betrieb eines digitalen Projekt-Datenraums;Project data room;Provisioning and operation of a digital project data space
S084;Videokonferenz-System;Bereitstellung und Betrieb eines Videokonferenz-Systems;Videoconferencing system;Provisioning and operation of a video conferencing system
S085;Telefonkonferenz-System;Bereitstellung und Betrieb eines Telefonkonferenz-Systems;Phone conferencing system;Provisioning and operation of a phone conferencing system
S086;Fernwartungs-Software;Bereitstellung und Betrieb eines Systems für die Fernwartung und Support von IT-Geräten;Remote support software;Provisioning and operation of a system for remote maintenance and support of IT equipment
S087;Desktop-Publishing-Software;Bereitstellung und Betrieb von Software für Desktop-Publishing;Desktop publishing software;Provisioning and operation of software for desktop publishing
S088;Bildbearbeitungs-Software;Bereitstellung und Betrieb von Software für Bildbearbeitung und Bildretusche;Image editing software;Provisioning and operation of software for image editing
S089;Beamer und Präsentationstechnik;Bereitstellung und Betrieb von Beamer-Hardware und verwandte Präsentationstechnik;Beamer and presentation technology;Provisioning and operation of beamer hardware and related  presentation technology
S090;Firewalls ohne VPN-Funktionen;Bereitstellung und Betrieb von Firewall-Hardware ohne aktivierte und konfigurierte VPN-Funktionen;Firewalls without VPN functionalities;Provisioning and operation of firewall hardware without activated and configured VPN functions
S091;Zwei-Faktor-Authentisierung-System;Bereitstellung und Betrieb eines Zwei-Faktor-Authentisierung-System für IT-Systeme wie z.B. Tokens, Biometrie, Chipkarten etc.;Two-factor authentication system;Provisioning and operation of a two-factor authentication system for IT systems, such as tokens, biometrics, smart cards, etc.
S092;Netzwerk Load-Balancer;Bereitstellung und Betrieb von Netzwerk-Load-Balancer-Hardware;Network load balancer;Provisioning and operation of network load balancer hardware
S093;Veranstaltungsverwaltungs-Software (ohne Finanzbuchhaltung);Bereitstellung und Betrieb von Software für Veranstaltungsmanagement (ohne Finanzbuchhaltung);Event management software (without financial accounting module);Provisioning and operation of software for event management (without finance module)
S094;Mitgliederverwaltung (z.B. Verein) (ohne Finanzbuchhaltung);Bereitstellung und Betrieb von Software für Vereinsmitgliederverwaltung (ohne Finanzbuchhaltung);Membership (club) administration (without financial accounting module);Provisioning and operation of software for club membership administration (without finance module)
S095;Stromversorgung;Bereitstellung und Betrieb eines Stromversorgungsystems im Haus inkl. Leitungen;Power supply;Provisioning and operation of an inhouse power supply system incl. Cabling
S096;Feuerlöschsystem;Bereitstellung und Betrieb eines Feuerlöschsystems;Firefighting system;Provisioning and operation of a firefighting system
S097;Hotelverwaltungssoftware (inkl. Finanzbuchhaltung);Bereitstellung und Betrieb einer branchenspezifischen Hotelverwaltungssoftware inkl. Finanzbuchhaltung;Hotel administration software (incl. financial accounting system);Provisioning and operation of a hotel administration software (incl. financial accounting system)
S098;Follow-Me Printing;Bereitstellung und Betrieb von Hard- und Software für eine Follow-Me-Printing-Lösung;Follow-me printing;Provisioning and operation of a hardware and software for a follow-me printing solution
S099;Client Betriebssystem (Client OS);Bereitstellung und Betrieb eines Client-Betriebssystems;Client operating system (Client OS);Provisioning and operation of a client operating system
S100;Server Betriebssystem (Server OS);Bereitstellung und Betrieb eines Server-Betriebssystems;Server operating system (Server OS);Provisioning and operation of a server operating system
S101;Internet-Browser;Bereitstellung und Betrieb Software für die Nutzung des Internet (WWW);Internet browser;Provisioning and operation of a software for the access to the Internet (WWW)
S102;Lagerverwaltungssoftware (WMS);Bereitstellung und Betrieb von Software für die Lagerverwaltung;Warehouse management system (WMS);Provisioning and operation of a warehouse management system
S103;Business Intelligence Software (BI);Bereitstellung und Betrieb von Software für die Erstellung und Auswertung von statistischen Kennzahlen;Business intelligence software (BI);Provisioning and operation of a software for creation and analysis of statistical key performance indicators
S104;Scanner;Bereitstellung und Betrieb von Scannern;Scanner;Provisioning and operation of scanners
S105;Dispositionssoftware;Bereitstellung und Betrieb von Software zur Disposition (und anschließender Bestellungsübermittlung an das ERP System);Disposition software;Provisioning and operation of a disposition software (incl. ERP interface)
S106;Versand und Logistiksystem;Bereitstellung und Betrieb von Software zur Unterstützung von Versand und Logistik;Dispatch and logistics system;Provisioning and operation of a dispatch and logistics system
S107;Krankenversicherungs-Abrechungssoftware (KV);Bereitstellung und Betrieb von Software für die Abrechnung mit einer gesetzlichen Krankenversicherung;Billing software for health insurance;Provisioning and operation of a billing software for health insurance
S108;Produktionsinformationssystem (PIM);Bereitstellung und Betrieb von Software für die automatisierte Bereitstellung von Ausgabemedien wie Katalogen;Product information management system (PIM);Provisioning and operation of a product information management system
S109;Digital-Asset-Management-Software (DAM);Bereitstellung und Betrieb von Software zur Verwaltung von Bild, Video und Mediendateien;Digital asset management software (DAM);Provisioning and operation of a digital asset management software 
S110;Compliance-Software intern;Bereitstellung und Betrieb von Compliance-Software für interne Zwecke (z.B. für den Abgleich Kunden/Lieferanten mit der aktuellen Anti-Terrorliste);Compliance software internal;Provisioning and operation of a compliance software for internal purposes (data reconciliation with anti-terror list)
S111;Leitstand (Leitsystem);Bereitstellung und Betrieb von Software für die Steuerung und Planung von Produktionsaufträgen;Control station software;Provisioning and operation of a control station software
S112;Produktentwicklungs-Software;Bereitstellung und Betrieb von Produktentwicklungs-Software (z.B. für die CAD-Verarbeitung von Konstruktionen und Verwaltung in einer Datenbank);Product development software;Provisioning and operation of a product development software
S113;Produktionsmessungs-System;Bereitstellung und Betrieb von Software für die Durchführung und Protokollierung von Messungen;Production measurement system;Provisioning and operation of a production measurement system
S114;Compliance-Software extern;Bereitstellung und Betrieb von Compliance-Software für externe Zwecke (z.B. für die Erstellung von Export Ausfuhrerklärungen für den Zoll);Compliance software external;Provisioning and operation of a compliance software for external purposes (export customs declaration)
S115;Fahrtenschreiber-System;Bereitstellung und Betrieb von Software für die Verwaltung und das Auslesen von elektronischen Fahrerkarten;Digital tachograph software;Provisioning and operation of a digital tachograph software
S116;Instant-Messaging-System;Bereitstellung und Betrieb von Software für die Kommunikation per Chat und IP-Telefonie;Instant messaging system;Provisioning and operation of an instant messaging system
S117;Waagenverwaltungssystem;Bereitstellung und Betrieb von Software für die Übermittlung von Gewichtsdaten von den Waagen;Industrial scale system;Provisioning and operation of an industrial scale system
S118;Business Continuity-System (inkl. Disaster Recovery);Bereitstellung und Betrieb eines Business Continuity-Systems (Disaster Recovery) mit Software evtl. mit Storage, Serverraum und USV;Business continuity system (incl. disaster recovery);Provisioning and operation of a business continuity system (incl. disaster recovery)
S119;Elektronische Test- und Messgeräte mit Software;Bereitstellung und Betrieb von elektronischen Test- und Meßgeräten mit Software;Electronic devices for testing and measuring;Provisioning and operation of electronic devices for testing and measuring
S120;E-Bilanz;Bereitstellung und Betrieb von Software für die Übertragung der Bilanz an Behörden per Datenübertragung;Electronic balance software;Provisioning and operation of an electronic balance software
S121;Online Datenbanken (e.g. Hoppenstedt);Nutzung von Online Datenbanken;Online databases (e.g. Hoppenstedt);Provisioning and operation of online databases (e.g. Hoppenstedt)
S122;Planogramm-Software;Bereitstellung und Betrieb von Software für die Planung und visuellen Darstellung von Produktplatzierungen auf Verkaufsmodulen und Regalsystemen;Planogram software;Provisioning and operation of a planogram software
S123;Mobiles Auftragserfassungs-System;Bereitstellung und Betrieb von Hardware und Software für die mobile Auftragsdatenerfassung;Mobile order entry system;Provisioning and operation of a mobile order entry system
S124;Arbeitszeiterfassungssystem, z.B. zur innerbetrieblichen Leistungserfassung;Bereitstellung und Betrieb eines Arbeitszeiterfassungssystems, z.B. zur innerbetrieblichen Leistungserfassung (IBLV);Work time and internal activity recording system;Provisioning and operation of a work time and internal activity recording system
S125;Passwortverwaltung;Bereitstellung und Betrieb einer Passwortverwaltungsdatenbank;Password management;Provisioning and operation of a password management system
S126;Public-Key-Infrastruktur (PKI);Bereitstellung und Betrieb eines rechnergestützten Systems für die Ausstellung, Verteilung und Prüfung von digitalen Zertifikaten;Public key infrastructure (PKI);Provisioning and operation of a public key infrastructure
S127;Labor-Software;Bereitstellung und Betrieb von Software zum Abruf von Laborergebnissen;Laboratory software;Provisioning and operation of laboratory software
S128;Ultraschallgerät;Bereitstellung und Betrieb eines Geräts zur medizinischen Diagnose mit Netzwerkanschluss;Ultrasound scanner;Provisioning and operation of an ultrasound scanner
S129;Medizinisches Kartenlesegerät;Bereitstellung und Betrieb eines Geräts für das Einlesen von Patientendaten in die Arztpraxissoftware;Medical card reader;Provisioning and operation of medical card reader
S130;Langzeit-Blutdruck-Messgerät;Bereitstellung und Betrieb eines Geräts für die Aufzeichnung von Blutdruckdaten incl. Datenübertragung in eine Arztpraxissoftware;Long-term blood pressure measuring device;Provisioning and operation of a long-term blood pressure measuring device
S131;EKG-Systeme;Bereitstellung und Betrieb von Ruhe- und Belastungs-EKGs für die Kurzzeit- und Langzeitmessung;ECG recorder;Provisioning and operation of an ECG recorder
S132;Blutgasanalysegerät;Bereitstellung und Betrieb eines Geräts für die Blutgasanalyse;Blood gas analysis device;Provisioning and operation of a blood gas analysis device
S133;Blutzucker-Messgerät;Bereitstellung und Betrieb eines Geräts für die Messung des Blutzuckerspiegels;Blood glucose meter;Provisioning and operation of a blood glucose meter
S134;Pulswellenanalyse;Bereitstellung und Betrieb eines Geräts für die Pulswellenanalyse;Pulse wave analysis;Provisioning and operation of a pulse wave analysis
S135;HR-Software und online Personalsuche für Personaldienstleister (inkl. Abrechnungsmodul);Bereitstellung und Betrieb einer Softwarelösung für Bewerbermanagement, Personalmanagement, Personalberatung;HR software and e-recruiting for recruitment agencies (incl. accounting module);Provisioning and operation of HR software and e-recruiting for recruitment agencies (incl. accounting module)
S136;HR-Software und online Personalsuche für Personaldienstleister (ohne Abrechnungsmodul);Nutzung einer Online Datenbank für E-Recruiting und online Personalsuche;HR software and e-recruiting for recruitment agencies (without accounting module);Provisioning and operation of HR software and e-recruiting for recruitment agencies (without accounting module)
S137;Diktiergerät;Bereitstellung und Betrieb von Diktiergeräten mit Softwareschnittstelle;Dictaphone;Provisioning and operation of a dictaphone
S138;Spracherkennungs-System;Bereitstellung und Betrieb eines Spracherkennungssystems;Speech recognition system;Provisioning and operation of a speech recognition system
S139;Blutflussanalyse-System;Bereitstellung und Betrieb eines Blutflussanalyse-Systems;Blood flow analysis system;Provisioning and operation of a blood flow analysis system
S140;Datenbank Server (mehrere Datenbank-Anwendungen);Bereitstellung und Betrieb von Datenbank Servern (z.B. SQL Server) für mehrere Datenbankanwendungen;Database server (several database applications);Provisioning and operation of database servers (e.g. SQL server) for several database applications
S141;Arztinformationssystem (AIS);Bereitstellung und Betrieb eines Arztinformationssystems;Medical information system;Provisioning and operation of a medical information system (MIS)
S142;Label Printer;Bereitstellung und Betrieb eines Label Printers;Label printer;Provisioning and operation of a label printer
S143;Barcode Scanner;Bereitstellung und Betrieb eines Barcode Scanners;Barcode scanner;Provisioning and operation of a barcode scanner
S144;Reverse Proxy (Web-Application-Firewall);Bereitstellung und Betrieb eines Reverse Proxy (Web-Application-Firewall);Reverse proxy (web application firewall);Provisioning and operation of a reverse proxy (web application firewall)
S145;Medizinisches Beratungs- und Dokumentationssystem;Bereitstellung und Betrieb eines medizinischen Beratungs- und Dokumentationssystems;Medical consultation and documentation system;Provisioning and operation of a medical consultation and documentation system
S146;Kanzlei-Software (z.B. für Rechtsanwälte);Bereitstellung und Betrieb einer Kanzlei-Software, z.B. für Rechtsanwälte;Law firm software;Provisioning and operation of a law firm software
S147;Betriebswirtschaftliche Controlling-Software;Bereitstellung und Betrieb einer betriebswirtschaftlichen Controlling-Software;Business administration controlling software;Provisioning and operation of a business administration controlling software
